Soil Type,ID,Horizont,Top,Bottom,pH (H2O),pH (KCl),Y1,T-S,S,T,V,Humus,N,C/N,P2O5,K2O,As,Co
Vertisol,164,Avt,0,20,5.95,4.8,8.65,5.62,23.64,29.26,80.79,4.8,0.18,15.46,0.06,32.21,280,25.3
Vertisol,164,AvtC,20,30,6,4.75,9,5.85,22.44,28.29,79.32,2.28,,,0,20.31,126,19.9
Vertisol,166,Avt,0,29,5.65,4.5,14.09,9.16,30.84,40,77.1,5.77,0.17,19.68,0.09,34.58,290,19.1
Vertisol,166,AvtC,29,38,5.7,4.7,9.55,6.21,38.17,44.75,85.3,2.21,,,0,15.68,134,19.4
Vertisol,237,Avt,0,30,6.02,4.9,11.9,7.74,35.24,42.98,82,4.95,0.18,15.95,22.54,93.24,6.9,25
Vertisol,237,AvtC,30,49,6.43,5.1,8,5.2,38.04,43.24,87.97,2.32,,,10.06,36.75,2.7,19.2
Vertisol,240,Avt,0,30,5.55,4.35,13.5,8.78,30.84,39.62,77.85,3.94,0.16,14.28,0.9,18.51,4.4,17.3
Vertisol,241,Avt,0,30,5.48,4.4,15.5,10.08,26.04,36.12,72.1,4.92,0.17,16.78,0.49,29.88,9.5,21.8
Vertisol,241,AvtC,30,70,5.95,4.5,9.31,6.05,39.24,45.29,86.64,1.22,,,0,19.76,2.6,18.2
Vertisol,257,Avt,0,35,5.8,4.8,13.5,8.78,39.24,48.02,81.72,6.5,0.27,13.96,5.71,56.76,12.3,22
Vertisol,257,Avt,35,68,6.3,4.7,8.59,5.59,42.44,48.03,88.37,2.1,,,0.49,21.02,2.7,21.2
Eutricni kambisol,2,Amo,0,28,5.9,4.5,14.85,9.65,27.68,37.33,74.14,3.6,0.15,13.92,0.18,11.61,26.3,23.75
Eutricni kambisol,2,Bv,28,43,6.45,4.65,11,7.15,57.68,64.83,88.97,1.96,,,0.07,14.97,5.6,23.4
Eutricni kambisol,3,Amo,0,15,5.95,4.55,14.6,9.49,33.68,43.17,78.02,2.98,0.14,12.34,2.34,24.15,19,23.45
